"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30054","InteractMulitple Links","firefox","Thu Jan 08 22:20:31 IST 2026","broken","Thu Jan 08 22:21:01 IST 2026","","studentCode.spec.js","",""
"","58","fileWithDateName","chromium","Thu Jan 08 22:19:52 IST 2026","passed","Thu Jan 08 22:19:52 IST 2026","","dataFormat.spec.js","",""
"","1050","pageview Screenshot","chromium","Thu Jan 08 22:19:59 IST 2026","passed","Thu Jan 08 22:20:00 IST 2026","","screenshotsinPW.spec.js","",""
"","2926","element Screenshot","chromium","Thu Jan 08 22:20:01 IST 2026","passed","Thu Jan 08 22:20:04 IST 2026","","screenshotsinPW.spec.js","",""
"","19965","InteractMulitple Links","chromium","Thu Jan 08 22:19:57 IST 2026","failed","Thu Jan 08 22:20:17 IST 2026","","InteractWithMultipleElements.spec.js","",""
"","1849","Assertion in PW","webkit","Thu Jan 08 22:20:34 IST 2026","passed","Thu Jan 08 22:20:35 IST 2026","","assertionsinPW.spec.js","",""
"","3815","Handling confirmation alert","webkit","Thu Jan 08 22:20:52 IST 2026","passed","Thu Jan 08 22:20:55 IST 2026","","handlingAlertsinPW.spec.js","",""
"","6047","hard","firefox","Thu Jan 08 22:20:27 IST 2026","failed","Thu Jan 08 22:20:33 IST 2026","","soft_hard_assertion.spec.js","",""
"","4307","fullpage Screenshot","webkit","Thu Jan 08 22:21:02 IST 2026","passed","Thu Jan 08 22:21:06 IST 2026","","screenshotsinPW.spec.js","",""
"","1812","myFirstTest","firefox","Thu Jan 08 22:20:16 IST 2026","passed","Thu Jan 08 22:20:17 IST 2026","","examples.spec.js","",""
"","4023","getBylabel","webkit","Thu Jan 08 22:20:42 IST 2026","passed","Thu Jan 08 22:20:46 IST 2026","","buildInLocators.spec.js","",""
"","1320","pageview Screenshot","firefox","Thu Jan 08 22:20:25 IST 2026","passed","Thu Jan 08 22:20:26 IST 2026","","screenshotsinPW.spec.js","",""
"","3676","locators in playwright","chromium","Thu Jan 08 22:19:57 IST 2026","passed","Thu Jan 08 22:20:01 IST 2026","","locators.spec.js","",""
"","21366","InteractMulitple Links","webkit","Thu Jan 08 22:20:55 IST 2026","failed","Thu Jan 08 22:21:17 IST 2026","","InteractWithMultipleElements.spec.js","",""
"","4300","getBylabel","firefox","Thu Jan 08 22:20:10 IST 2026","passed","Thu Jan 08 22:20:14 IST 2026","","buildInLocators.spec.js","",""
"","4467","UploadFileInPW","chromium","Thu Jan 08 22:19:52 IST 2026","passed","Thu Jan 08 22:19:57 IST 2026","","FileUploadInPW.spec.js","",""
"","4885","getBylabel","chromium","Thu Jan 08 22:19:46 IST 2026","passed","Thu Jan 08 22:19:51 IST 2026","","buildInLocators.spec.js","",""
"","30031","InteractMulitple Links","firefox","Thu Jan 08 22:20:21 IST 2026","broken","Thu Jan 08 22:20:51 IST 2026","","InteractWithMultipleElements.spec.js","",""
"","4362","getByAlttext","firefox","Thu Jan 08 22:20:06 IST 2026","passed","Thu Jan 08 22:20:10 IST 2026","","buildInLocators.spec.js","",""
"","2974","test","webkit","Thu Jan 08 22:20:58 IST 2026","failed","Thu Jan 08 22:21:01 IST 2026","","myTest.spec.js","",""
"","1207","myFristScript","chromium","Thu Jan 08 22:19:57 IST 2026","passed","Thu Jan 08 22:19:58 IST 2026","","myfirstScript.spec.js","",""
"","4599","Handling prompt alert","chromium","Thu Jan 08 22:19:54 IST 2026","passed","Thu Jan 08 22:19:59 IST 2026","","handlingAlertsinPW.spec.js","",""
"","3380","Handling confirmation alert","chromium","Thu Jan 08 22:19:54 IST 2026","passed","Thu Jan 08 22:19:57 IST 2026","","handlingAlertsinPW.spec.js","",""
"","5552","test","webkit","Thu Jan 08 22:20:58 IST 2026","passed","Thu Jan 08 22:21:04 IST 2026","","RecordCodeGen.spec.js","",""
"","7113","getByplaceHolder | getByText","webkit","Thu Jan 08 22:20:36 IST 2026","passed","Thu Jan 08 22:20:43 IST 2026","","buildInLocators.spec.js","",""
"","6781","getByplaceHolder | getByText","firefox","Thu Jan 08 22:20:08 IST 2026","passed","Thu Jan 08 22:20:15 IST 2026","","buildInLocators.spec.js","",""
"","24081","InteractMulitple Links","webkit","Thu Jan 08 22:21:05 IST 2026","passed","Thu Jan 08 22:21:29 IST 2026","","studentCode.spec.js","",""
"","1177","Assertion in PW","firefox","Thu Jan 08 22:20:04 IST 2026","passed","Thu Jan 08 22:20:05 IST 2026","","assertionsinPW.spec.js","",""
"","5887","checkbox in PW","webkit","Thu Jan 08 22:20:46 IST 2026","passed","Thu Jan 08 22:20:52 IST 2026","","checboxesinPW.spec.js","",""
"","7111","getByAlttext","chromium","Thu Jan 08 22:19:46 IST 2026","passed","Thu Jan 08 22:19:54 IST 2026","","buildInLocators.spec.js","",""
"","141","fileWithDateName","firefox","Thu Jan 08 22:20:15 IST 2026","passed","Thu Jan 08 22:20:15 IST 2026","","dataFormat.spec.js","",""
"","4531","test","chromium","Thu Jan 08 22:19:59 IST 2026","passed","Thu Jan 08 22:20:03 IST 2026","","RecordCodeGen.spec.js","",""
"","4569","UploadFileInPW","webkit","Thu Jan 08 22:20:50 IST 2026","passed","Thu Jan 08 22:20:54 IST 2026","","FileUploadInPW.spec.js","",""
"","538","get started link","chromium","Thu Jan 08 22:19:52 IST 2026","passed","Thu Jan 08 22:19:52 IST 2026","","example.spec.js","",""
"","1477","myFirstTest","webkit","Thu Jan 08 22:20:48 IST 2026","passed","Thu Jan 08 22:20:50 IST 2026","","examples.spec.js","",""
"","5834","locators in playwright","webkit","Thu Jan 08 22:20:56 IST 2026","passed","Thu Jan 08 22:21:01 IST 2026","","locators.spec.js","",""
"","12239","getByplaceHolder | getByText","chromium","Thu Jan 08 22:19:46 IST 2026","passed","Thu Jan 08 22:19:59 IST 2026","","buildInLocators.spec.js","",""
"","6472","hard","webkit","Thu Jan 08 22:21:03 IST 2026","failed","Thu Jan 08 22:21:09 IST 2026","","soft_hard_assertion.spec.js","",""
"","5813","checkbox in PW","chromium","Thu Jan 08 22:19:48 IST 2026","passed","Thu Jan 08 22:19:54 IST 2026","","checboxesinPW.spec.js","",""
"","1036","myFirstTest","chromium","Thu Jan 08 22:19:52 IST 2026","passed","Thu Jan 08 22:19:53 IST 2026","","examples.spec.js","",""
